2014-02-28 04:36:03: Backup: init
2014-02-28 04:36:04: adding new snapshot: 1393562039
2014-02-28 04:36:07: table: wp_blog_versions segment: 1/1
2014-02-28 04:36:10: table: wp_blogs segment: 1/1
2014-02-28 04:36:12: table: wp_commentmeta segment: 1/1
2014-02-28 04:36:14: table: wp_comments segment: 1/1
2014-02-28 04:36:16: table: wp_links segment: 1/1
2014-02-28 04:36:17: table: wp_options segment: 1/1
2014-02-28 04:36:21: table: wp_postmeta segment: 1/1
2014-02-28 04:36:22: table: wp_posts segment: 1/1
2014-02-28 04:36:24: table: wp_registration_log segment: 1/1
2014-02-28 04:36:25: table: wp_signups segment: 1/1
2014-02-28 04:36:28: table: wp_site segment: 1/1
2014-02-28 04:36:31: table: wp_sitemeta segment: 1/1
2014-02-28 04:36:32: table: wp_term_relationships segment: 1/1
2014-02-28 04:36:35: table: wp_term_taxonomy segment: 1/1
2014-02-28 04:36:37: table: wp_terms segment: 1/1
2014-02-28 04:36:38: table: wp_usermeta segment: 1/1
2014-02-28 04:36:40: table: wp_users segment: 1/1
2014-02-28 04:36:42: table: wp_bb_forums segment: 1/1
2014-02-28 04:36:44: table: wp_bb_meta segment: 1/1
2014-02-28 04:36:46: table: wp_bb_posts segment: 1/1
2014-02-28 04:36:48: table: wp_bb_term_relationships segment: 1/1
2014-02-28 04:36:50: table: wp_bb_term_taxonomy segment: 1/1
2014-02-28 04:36:52: table: wp_bb_terms segment: 1/1
2014-02-28 04:36:54: table: wp_bb_topics segment: 1/1
2014-02-28 04:36:57: table: wp_bp_activity segment: 1/1
2014-02-28 04:36:59: table: wp_bp_activity_meta segment: 1/1
2014-02-28 04:37:05: table: wp_bp_friends segment: 1/1
2014-02-28 04:37:09: table: wp_bp_groups segment: 1/1
2014-02-28 04:37:11: table: wp_bp_groups_groupmeta segment: 1/1
2014-02-28 04:37:14: table: wp_bp_groups_members segment: 1/1
2014-02-28 04:37:17: table: wp_bp_messages_messages segment: 1/1
2014-02-28 04:37:18: table: wp_bp_messages_notices segment: 1/1
2014-02-28 04:37:20: table: wp_bp_messages_recipients segment: 1/1
2014-02-28 04:37:22: table: wp_bp_notifications segment: 1/1
2014-02-28 04:37:25: table: wp_bp_user_blogs segment: 1/1
2014-02-28 04:37:26: table: wp_bp_user_blogs_blogmeta segment: 1/1
2014-02-28 04:37:29: table: wp_bp_xprofile_data segment: 1/1
2014-02-28 04:37:30: table: wp_bp_xprofile_fields segment: 1/1
2014-02-28 04:37:32: table: wp_bp_xprofile_groups segment: 1/1
2014-02-28 04:37:33: table: wp_bp_xprofile_meta segment: 1/1
2014-02-28 04:37:35: table: wp_chat_log segment: 1/1
2014-02-28 04:37:37: table: wp_chat_message segment: 1/1
2014-02-28 04:37:38: table: wp_cunjoshare segment: 1/1
2014-02-28 04:37:40: table: wp_invitations segment: 1/1
2014-02-28 04:37:41: table: wp_myboard_images segment: 1/1
2014-02-28 04:37:43: table: wp_rt_rtm_api segment: 1/1
2014-02-28 04:37:44: table: wp_rt_rtm_media segment: 1/1
2014-02-28 04:37:45: table: wp_rt_rtm_media_interaction segment: 1/1
2014-02-28 04:37:46: table: wp_rt_rtm_media_meta segment: 1/1
2014-02-28 04:37:48: table: wp_user_activity segment: 1/1
2014-02-28 04:37:49: table: wp_user_activity_log segment: 1/1
2014-02-28 04:37:50: finish: snapshot-1393562039-140228-043359-a3705874.zip
2014-03-01 23:46:56: restore: init
2014-03-01 23:46:58: restore: table: wp_blog_versions (1/1)
2014-03-01 23:47:01: restore: table: wp_blogs (1/1)
2014-03-01 23:47:03: restore: table: wp_commentmeta (1/1)
